BOX	Boxes	2002-06-01 00:00:00.000
BTL	Bottle	2002-06-01 00:00:00.000
C  	Celsius	2002-06-01 00:00:00.000
CAN	Canister	2002-06-01 00:00:00.000
CAR	Carton	2002-06-01 00:00:00.000
CBM	Cubic meters	2002-06-01 00:00:00.000
CCM	Cubic centimeter	2002-06-01 00:00:00.000
CDM	Cubic decimeter	2002-06-01 00:00:00.000
CM 	Centimeter	2002-06-01 00:00:00.000
CM2	Square centimeter	2002-06-01 00:00:00.000
CR 	Crate	2002-06-01 00:00:00.000
CS 	Case	2002-06-01 00:00:00.000
CTN	Container	2002-06-01 00:00:00.000
DM 	Decimeter	2002-06-01 00:00:00.000
DZ 	Dozen	2002-06-01 00:00:00.000
EA 	Each	2002-06-01 00:00:00.000
FT3	Cubic foot	2002-06-01 00:00:00.000
G  	Gram	2002-06-01 00:00:00.000
GAL	Gallon	2002-06-01 00:00:00.000
IN 	Inch	2002-06-01 00:00:00.000
KG 	Kilogram	2002-06-01 00:00:00.000
KGV	Kilogram/cubic meter	2002-06-01 00:00:00.000
KM 	Kilometer	2002-06-01 00:00:00.000
KT 	Kiloton	2002-06-01 00:00:00.000
L  	Liter	2002-06-01 00:00:00.000
LB 	US pound	2002-06-01 00:00:00.000
M  	Meter	2002-06-01 00:00:00.000
M2 	Square meter	2002-06-01 00:00:00.000
M3 	Cubic meter	2002-06-01 00:00:00.000
MG 	Milligram	2002-06-01 00:00:00.000
ML 	Milliliter	2002-06-01 00:00:00.000
MM 	Millimeter	2002-06-01 00:00:00.000
OZ 	Ounces	2002-06-01 00:00:00.000
PAK	Pack	2002-06-01 00:00:00.000
PAL	Pallet	2002-06-01 00:00:00.000
PC 	Piece	2002-06-01 00:00:00.000
PCT	Percentage	2002-06-01 00:00:00.000
PT 	Pint, US liquid	2002-06-01 00:00:00.000
