AE	AED	2008-03-11 10:17:21.510
AR	ARS	2008-03-11 10:17:21.510
AT	ATS	2008-03-11 10:17:21.510
AT	EUR	2002-06-01 00:00:00.000
AU	AUD	2008-03-11 10:17:21.510
BB	BBD	2008-03-11 10:17:21.510
BD	BDT	2008-03-11 10:17:21.510
BE	BEF	2008-03-11 10:17:21.510
BE	EUR	2002-06-01 00:00:00.000
BG	BGN	2008-03-11 10:17:21.510
BH	BHD	2008-03-11 10:17:21.510
BN	BND	2008-03-11 10:17:21.510
BO	BOB	2008-03-11 10:17:21.510
BR	BRL	2008-03-11 10:17:21.510
BS	BSD	2008-03-11 10:17:21.510
BT	BTN	2008-03-11 10:17:21.510
CA	CAD	2008-03-11 10:17:21.510
CH	CHF	2008-03-11 10:17:21.510
CL	CLP	2008-03-11 10:17:21.510
CN	CNY	2008-03-11 10:17:21.510
CO	COP	2008-03-11 10:17:21.510
CR	CRC	2008-03-11 10:17:21.510
CY	CYP	2008-03-11 10:17:21.510
CZ	CZK	2008-03-11 10:17:21.510
DE	DEM	2008-03-11 10:17:21.510
DE	EUR	2008-03-11 10:17:21.510
DK	DKK	2008-03-11 10:17:21.510
DO	DOP	2008-03-11 10:17:21.510
DZ	DZD	2008-03-11 10:17:21.510
EC	USD	2008-03-11 10:17:21.510
EE	EEK	2008-03-11 10:17:21.510
EG	EGP	2008-03-11 10:17:21.510
ES	ESP	2008-03-11 10:17:21.510
ES	EUR	2002-06-01 00:00:00.000
FI	EUR	2002-06-01 00:00:00.000
FI	FIM	2008-03-11 10:17:21.510
FJ	FJD	2008-03-11 10:17:21.510
FR	EUR	2008-03-11 10:17:21.510
FR	FRF	2008-03-11 10:17:21.510
GB	GBP	2008-03-11 10:17:21.510
GH	GHC	2008-03-11 10:17:21.510
GR	EUR	2002-06-01 00:00:00.000
GR	GRD	2008-03-11 10:17:21.510
GT	GTQ	2008-03-11 10:17:21.510
HK	HKD	2008-03-11 10:17:21.510
HR	HRK	2008-03-11 10:17:21.510
HU	HUF	2008-03-11 10:17:21.510
ID	IDR	2008-03-11 10:17:21.510
IE	EUR	2002-06-01 00:00:00.000
IE	IEP	2008-03-11 10:17:21.510
IL	ILS	2008-03-11 10:17:21.510
IN	INR	2008-03-11 10:17:21.510
IS	ISK	2008-03-11 10:17:21.510
IT	EUR	2002-06-01 00:00:00.000
IT	ITL	2008-03-11 10:17:21.510
JM	JMD	2008-03-11 10:17:21.510
JO	JOD	2008-03-11 10:17:21.510
JP	JPY	2008-03-11 10:17:21.510
KE	KES	2008-03-11 10:17:21.510
KR	KRW	2008-03-11 10:17:21.510
KW	KWD	2008-03-11 10:17:21.510
LB	LBP	2008-03-11 10:17:21.510
LK	LKR	2008-03-11 10:17:21.510
LT	LTL	2008-03-11 10:17:21.510
LU	EUR	2002-06-01 00:00:00.000
LV	LVL	2008-03-11 10:17:21.510
MA	MAD	2008-03-11 10:17:21.510
MT	MTL	2008-03-11 10:17:21.510
MU	MUR	2008-03-11 10:17:21.510
MV	MVR	2008-03-11 10:17:21.510
MX	MXN	2008-03-11 10:17:21.510
MY	MYR	2008-03-11 10:17:21.510
NA	NAD	2008-03-11 10:17:21.510
NG	NGN	2008-03-11 10:17:21.510
NL	EUR	2002-06-01 00:00:00.000
NL	NLG	2008-03-11 10:17:21.510
NO	NOK	2008-03-11 10:17:21.510
NP	NPR	2008-03-11 10:17:21.510
NZ	NZD	2008-03-11 10:17:21.510
OM	OMR	2008-03-11 10:17:21.510
PA	PAB	2008-03-11 10:17:21.510
PE	PEN	2008-03-11 10:17:21.510
PH	PHP	2008-03-11 10:17:21.510
PK	PKR	2008-03-11 10:17:21.510
PL	PLN	2008-03-11 10:17:21.510
PL	PLZ	2008-03-11 10:17:21.510
PT	EUR	2002-06-01 00:00:00.000
PT	PTE	2008-03-11 10:17:21.510
PY	PYG	2008-03-11 10:17:21.510
RO	ROL	2008-03-11 10:17:21.510
RU	RUB	2008-03-11 10:17:21.510
RU	RUR	2008-03-11 10:17:21.510
SA	SAR	2008-03-11 10:17:21.510
SE	SEK	2008-03-11 10:17:21.510
SG	SGD	2008-03-11 10:17:21.510
SI	SIT	2008-03-11 10:17:21.510
SK	SKK	2008-03-11 10:17:21.510
SV	SVC	2008-03-11 10:17:21.510
TH	THB	2008-03-11 10:17:21.510
TN	TND	2008-03-11 10:17:21.510
TR	TRL	2008-03-11 10:17:21.510
TT	TTD	2008-03-11 10:17:21.510
TW	TWD	2008-03-11 10:17:21.510
US	USD	2008-03-11 10:17:21.510
UY	UYU	2008-03-11 10:17:21.510
VE	VEB	2008-03-11 10:17:21.510
VN	VND	2008-03-11 10:17:21.510
ZA	ZAR	2008-03-11 10:17:21.510
ZW	ZWD	2008-03-11 10:17:21.510
